depot,avg_seats_per_bus,lat,lon,target_or
ACHAMPET,51.99,16.3961,78.6341,80%
ADILABAD,49.89,19.6689,78.5258,80%
ARMOOR,49.33,18.7896,78.2918,80%
ASIFABAD,50.22,19.3620,79.2931,80%
BANDLAGUDA,56.22,17.3655,78.5889,80%
BANSWADA,52.16,18.3939,77.8780,80%
BARKATPURA,56.8,17.3923,78.5012,80%
BADRACHALAM,46.7,17.6702,80.8928,80%
BHAINSA,54.42,19.1013,77.9615,80%
BHEL,37.8,17.5193,78.2908,80%
BHUPALAPALLAY,50.12,18.4396,79.8632,80%
BODHAN,48.61,18.6587,77.8944,80%
CHENGICHERLA,55.17,17.4193,78.6100,80%
CONTONMENT,47.52,17.4467,78.4983,80%
DEVARAKONDA,51.24,16.6912,78.9197,80%
DILSHUKNAGAR,55.53,17.3711,78.5255,80%
DUBBAKA,51.64,18.1685,78.6619,80%
FALAKNUMA,57.68,17.3376,78.4662,80%
FAROOQNAGAR,51.83,17.3286,78.4698,80%
GADWAL,49.95,16.2359,77.8031,80%
GWL-PRGPR,52.96,17.8371,78.7087,80%
GODAVARIKHANI,48.3,18.7624,79.5057,80%
HAKIMPET,55.87,17.5459,78.5351,80%
HANAMKONDA,54.95,18.0061,79.5529,80%
HAYATHNAGAR-I,56.58,17.3265,78.5932,80%
HAYATHNAGAR-II,46.64,17.3254,78.5934,80%
HUSNABAD,50.24,18.1312,79.2032,80%
HUZURABAD,48.32,18.1943,79.3955,80%
HCU,47.6,17.4670,78.3304,80%
HYDERABAD-I,45.97,17.3772,78.4804,80%
HYDERABAD-II,46.86,17.3698,78.5252,80%
IBRAHIMPATNAM,56.97,17.1868,78.6490,80%
JAGITYAL,49.68,18.7813,78.9118,80%
JANGAON,52.91,17.7202,79.1631,80%
JEEDIMETLA,51.94,17.5278,78.4400,80%
KACHEGUDA,55.84,17.3879,78.4992,80%
KALVAKURTHY,51.19,16.6691,78.4891,80%
KAMAREDDY,51.44,18.3251,78.3302,80%
KARIMNAGAR-I,47.43,18.4337,79.1283,80%
KARIMNAGAR-II,49.64,18.4330,79.1274,80%
KHAMMAM,45.71,17.2569,80.1416,80%
KODAD,48.69,16.9956,79.9656,80%
KOLLAPUR,51.33,16.1022,78.3282,80%
KORUTLA,48.87,18.8247,78.7184,80%
KOSGI,5.76,16.9981,77.7055,80%
KOTHAGUDEM,49.79,17.5487,80.6146,80%
KUKATPALLY,53.83,17.4735,78.4259,80%
KUSHAIGUDA,57.19,17.4683,78.5656,80%
MADHIRA,49.12,16.9235,80.3684,80%
MAHABOOBABAD,53.79,17.6044,80.0050,80%
MAHABOOBNAGAR,50.09,16.7466,77.9958,80%
MAHESWARAM,62.3,17.1340,78.4151,80%
MANCHERIAL,50.42,18.8824,79.4454,80%
MANTHANI,50.04,18.6572,79.6689,80%
MANUGURU,47.47,17.9334,80.8165,80%
MEDAK,52,18.0514,78.2711,80%
MEDCHAL,52.08,17.6338,78.4869,80%
MEHDIPATNAM,50.12,17.3922,78.4408,80%
METPALLY,50,18.8485,78.6331,80%
MIDHANI,55.32,17.3399,78.5043,80%
MIRYALAGUDA,47.14,16.8712,79.5608,80%
MIYAPUR-I,40.25,17.5137,78.3588,80%
MIYAPUR-II,40.03,17.5113,78.3614,80%
MUSHIRABAD,55.55,17.4077,78.5029,80%
NAGARKURNOOL,51.65,16.4830,78.3244,80%
NALGONDA,48.69,17.0565,79.2750,80%
NARAYANKHED,51,18.0394,77.7907,80%
NARAYANPET,52.51,16.7426,77.4984,80%
NARKATPALLY,55.21,17.2038,79.1943,80%
NARSAMPET,50.8,17.9256,79.8846,80%
NARSAPUR,58,17.7359,78.2868,80%
NIRMAL,48.36,19.0907,78.3453,80%
NIZAMABAD-I,47.53,18.6772,78.0992,80%
NIZAMABAD-II,45.9,18.6515,78.0908,80%
PARGI,51.43,17.1753,77.8803,80%
PARKAL,52.26,18.2002,79.6921,80%
PICKET,37.97,17.4479,78.4991,80%
RAJENDRANAGAR,55.59,17.3347,78.4093,80%
RANIGUNJ-I,55.92,17.4327,78.4869,80%
SANGAREDDY,52,17.6144,78.0832,80%
SATTUPALLY,48.09,17.2109,80.8291,80%
SHADNAGAR,52.56,17.0677,78.2047,80%
SIDDIPET,52,18.0931,78.8531,80%
SIRCILLA,48.93,18.3859,78.8017,80%
SURYAPET,52.82,17.1514,79.6212,80%
TANDUR,48.12,17.2514,77.5912,80%
THORROR,51.21,17.5923,79.6458,80%
UPPAL,51.53,17.4046,78.5897,80%
UTNOOR,51.22,19.3728,78.7797,80%
VEMULAWADA,47.83,18.4513,78.8543,80%
VIKARABAD,51.27,17.3319,77.9145,80%
WANAPARTHI,49.87,16.3583,78.0617,80%
WARANGAL-I,45.06,18.0036,79.5670,80%
WARANGAL-II,50.63,18.0035,79.5678,80%
YADAGIRIGUTTA,46.83,17.5832,78.9438,80%
YELLANDU,47.29,17.5962,80.3225,80%
ZAHIRABAD,49,17.6824,77.6142,80%
