Product_Name,Product_Code,OR_Thresold
PVG_BB,BB,110
CITY ORD,CO,110
e-EXP-INTRA,EE,110
E-EXP-INTER,EI,110
e_METRO_EX_NAC,EM,110
e_CITY_ORD,EO,110
EXPRESS,EP,110
EXPRESS,EX,110
METRO EXP,FS,110
HYBRID EXPRESS,HE,110
EXPRESS,IE,110
PALLEVELUGU,IO,110
JNNRM ORD,JC,110
JNNRM ORD,JS,110
MINI PVG,MA,110
MINI PVG,MC,110
METRO EXP,ME,110
MINI PVG,MF,110
MINI PVG,MI,110
CITY MOFFUSIL,MO,110
MINI PVG,MP,110
METRO EXP,MS,110
PALLEVELUGU,OP,110
PALLEVELUGU,OR,110
METRO EXP,PA,110
CITY ORD,PC,110
EXPRESS,PE,110
CITY MOFFUSIL,PM,110
METRO EXP,PN,110
PALLEVELUGU,PO,110
CITY SUB ORD,PS,110
SEMI EXPRESS,SE,110
METRO EXP,SN,110
CITY SUB ORD,SU,110
CITY VESTIBLE,VB,110
CITY ORD,XC,110
CNG MOFFUSIL,XM,110
CITY SUB ORD,XS,110
METRO EXP,XX,110
CITY SEETHAL,AC,65
PUSHPAK,AE,65
AC_SLEEPER_SEAT,AH,65
AC_SLEEPER,AL,65
AC_SLEEPER,AS,65
BOOKING CLERK,BC,65
CARGO,CG,65
METRO LUXURY AC,CS,65
METRO LUXURY AC,CV,65
E-DLX-INTER,DI,65
SEMI DLX_INT,DS,65
e_METRO_A/c,EA,65
PUSHPAK,EB,65
e-DLX-INTRA,ED,65
e-GARUDA,EG,65
e-SLX-INTRA,EH,65
GARUDA,GD,65
AC_SLEEPER_SEAT,HA,65
e-SLX-INTER,HI,65
L_N_AC_SLEEP_SE,HL,65
SUP LUX,HT,65
RAJDHANI,IB,65
VAJRA,IC,65
GARUDA,IG,65
SUP LUX,IH,65
DELUXE,IL,65
GARUDA PLUS,IM,65
VENNELA,IV,65
CITY SEETHAL,LA,65
METRO DLX,LB,65
L_N_AC_SLEEP_SE,LH,65
METRO DLX,LN,65
RAJDHANI,MB,65
GARUDA PLUS,MY,65
L_N_AC_SLEEP_SE,NA,65
LAHARY SLEEPER,NL,65
VAJRA,SA,65
SEMI DLX,SD,65
DELUXE,SL,65
METRO DLX,VC,65
VAJRA,VJ,65
METRO DLX,VR,65
METRO DLX,XF,65
METRO DLX,XG,65
